chr,maxVariants,minPosterior,minReads,time,precision,recall,f1
21,10.0,5.0,2.0,26.078833333333332,0.589095,0.809952,0.682091
21,12.0,5.0,2.0,25.402266666666666,0.588659,0.809952,0.6817979999999999
21,14.0,5.0,2.0,24.35621666666667,0.589275,0.809809,0.682161
21,16.0,5.0,2.0,23.834533333333333,0.589676,0.809952,0.68248
21,18.0,5.0,2.0,23.320266666666665,0.590234,0.809809,0.6828029999999999
21,2.0,5.0,2.0,3.8827333333333334,0.5893510000000001,0.808954,0.681908
21,20.0,5.0,2.0,22.653016666666666,0.590594,0.809809,0.683044
21,4.0,5.0,2.0,9.38315,0.585553,0.810664,0.6799609999999999
21,6.0,5.0,2.0,23.38945,0.58557,0.809952,0.679722
21,8.0,5.0,2.0,26.649966666666668,0.587705,0.810094,0.6812090000000001
21,8.0,1.0,2.0,27.00925,0.565757,0.82763,0.672085
21,8.0,11.0,2.0,27.178383333333333,0.587979,0.809809,0.681292
21,8.0,13.0,2.0,26.907516666666666,0.588098,0.809809,0.681372
21,8.0,15.0,2.0,27.073500000000003,0.588098,0.809809,0.681372
21,8.0,17.0,2.0,26.69953333333333,0.588098,0.809809,0.681372
21,8.0,19.0,2.0,26.595216666666666,0.588098,0.809809,0.681372
21,8.0,3.0,2.0,26.72345,0.568102,0.817365,0.670311
21,8.0,5.0,2.0,27.07858333333333,0.587705,0.810094,0.6812090000000001
21,8.0,7.0,2.0,26.7154,0.587919,0.809809,0.6812520000000001
21,8.0,9.0,2.0,26.739916666666666,0.587919,0.809809,0.6812520000000001
21,8.0,5.0,1.0,0.007016666666666667,0.557551,0.8026800000000001,0.658028
21,8.0,5.0,10.0,18.143533333333334,0.625889,0.819789,0.709836
21,8.0,5.0,2.0,26.8223,0.587705,0.810094,0.6812090000000001
21,8.0,5.0,3.0,27.636599999999998,0.6025560000000001,0.813944,0.692477
21,8.0,5.0,4.0,24.91463333333333,0.608574,0.815654,0.69706
21,8.0,5.0,5.0,25.0245,0.613881,0.816938,0.701001
21,8.0,5.0,6.0,22.942333333333334,0.6165229999999999,0.8172229999999999,0.7028260000000001
21,8.0,5.0,7.0,22.1723,0.619534,0.818221,0.705149
21,8.0,5.0,8.0,21.346833333333333,0.621316,0.8186479999999999,0.706461
21,8.0,5.0,9.0,20.2199,0.624099,0.819361,0.7085229999999999
21,10.0,5.0,2.0,25.958666666666666,0.589095,0.809952,0.682091
21,12.0,5.0,2.0,25.475716666666663,0.588659,0.809952,0.6817979999999999
21,14.0,5.0,2.0,24.726850000000002,0.589275,0.809809,0.682161
21,16.0,5.0,2.0,23.7117,0.589676,0.809952,0.68248
21,18.0,5.0,2.0,23.50865,0.590234,0.809809,0.6828029999999999
21,2.0,5.0,2.0,3.8322999999999996,0.5893510000000001,0.808954,0.681908
21,20.0,5.0,2.0,22.37035,0.590594,0.809809,0.683044
21,4.0,5.0,2.0,9.460866666666668,0.585553,0.810664,0.6799609999999999
21,6.0,5.0,2.0,23.221533333333333,0.58557,0.809952,0.679722
21,8.0,5.0,2.0,27.08255,0.587705,0.810094,0.6812090000000001
21,8.0,1.0,2.0,26.670933333333334,0.565757,0.82763,0.672085
21,8.0,11.0,2.0,26.69285,0.587979,0.809809,0.681292
21,8.0,13.0,2.0,26.811233333333334,0.588098,0.809809,0.681372
21,8.0,15.0,2.0,26.871533333333332,0.588098,0.809809,0.681372
21,8.0,17.0,2.0,26.996166666666667,0.588098,0.809809,0.681372
21,8.0,19.0,2.0,26.7582,0.588098,0.809809,0.681372
21,8.0,3.0,2.0,28.449916666666663,0.568102,0.817365,0.670311
21,8.0,5.0,2.0,27.607916666666664,0.587705,0.810094,0.6812090000000001
21,8.0,7.0,2.0,28.002083333333335,0.587919,0.809809,0.6812520000000001
21,8.0,9.0,2.0,26.974266666666665,0.587919,0.809809,0.6812520000000001
21,8.0,5.0,1.0,25.507933333333334,0.557551,0.8026800000000001,0.658028
21,8.0,5.0,10.0,18.08205,0.625889,0.819789,0.709836
21,8.0,5.0,2.0,27.020083333333332,0.587705,0.810094,0.6812090000000001
21,8.0,5.0,3.0,27.44285,0.6025560000000001,0.813944,0.692477
21,8.0,5.0,4.0,24.5934,0.608574,0.815654,0.69706
21,8.0,5.0,5.0,25.0258,0.613881,0.816938,0.701001
21,8.0,5.0,6.0,22.944466666666663,0.6165229999999999,0.8172229999999999,0.7028260000000001
21,8.0,5.0,7.0,22.085183333333337,0.619534,0.818221,0.705149
21,8.0,5.0,8.0,21.3075,0.621316,0.8186479999999999,0.706461
21,8.0,5.0,9.0,20.166283333333336,0.624099,0.819361,0.7085229999999999
20,10.0,5.0,2.0,11.853583333333335,0.578808,0.7567649999999999,0.655931
20,12.0,5.0,2.0,11.830266666666667,0.580178,0.757286,0.6570050000000001
20,14.0,5.0,2.0,11.362716666666667,0.581277,0.757182,0.65767
20,16.0,5.0,2.0,11.547716666666668,0.581868,0.757182,0.658048
20,18.0,5.0,2.0,11.257233333333334,0.582141,0.757182,0.658223
20,2.0,5.0,2.0,2.8448166666666665,0.579864,0.754892,0.6559020000000001
20,20.0,5.0,2.0,11.237383333333334,0.58205,0.757182,0.658165
20,4.0,5.0,2.0,5.094449999999999,0.5772970000000001,0.7566609999999999,0.65492
20,6.0,5.0,2.0,9.297733333333333,0.577338,0.756869,0.655025
20,8.0,5.0,2.0,11.2693,0.578465,0.757598,0.6560229999999999
20,8.0,1.0,2.0,11.32235,0.551333,0.779975,0.6460199999999999
20,8.0,11.0,2.0,11.279133333333334,0.578882,0.757494,0.6562520000000001
20,8.0,13.0,2.0,11.33915,0.5789270000000001,0.757494,0.656281
20,8.0,15.0,2.0,11.314766666666666,0.5789270000000001,0.757494,0.656281
20,8.0,17.0,2.0,11.591933333333333,0.5789270000000001,0.757494,0.656281
20,8.0,19.0,2.0,11.348033333333332,0.5789270000000001,0.757494,0.656281
20,8.0,3.0,2.0,11.309383333333333,0.553396,0.766861,0.642871
20,8.0,5.0,2.0,11.530166666666666,0.578465,0.757598,0.6560229999999999
20,8.0,7.0,2.0,11.337716666666667,0.578657,0.757494,0.656107
20,8.0,9.0,2.0,11.333049999999998,0.578657,0.757494,0.656107
20,8.0,5.0,1.0,19.311216666666667,0.55394,0.748855,0.636817
20,8.0,5.0,10.0,6.7642500000000005,0.623292,0.7683180000000001,0.688248
20,8.0,5.0,2.0,14.019366666666667,0.578465,0.757598,0.6560229999999999
20,8.0,5.0,3.0,12.466183333333333,0.594522,0.760616,0.6673899999999999
20,8.0,5.0,4.0,8.730683333333333,0.602812,0.762594,0.673354
20,8.0,5.0,5.0,8.298683333333333,0.608762,0.764467,0.677787
20,8.0,5.0,6.0,7.6619166666666665,0.613451,0.765612,0.681137
20,8.0,5.0,7.0,7.309866666666666,0.6168710000000001,0.7663409999999999,0.68353
20,8.0,5.0,8.0,7.002016666666666,0.61961,0.766965,0.685458
20,8.0,5.0,9.0,6.905083333333334,0.621743,0.767798,0.687094
20,10.0,5.0,2.0,11.573083333333333,0.578808,0.7567649999999999,0.655931
20,12.0,5.0,2.0,11.845766666666666,0.580178,0.757286,0.6570050000000001
20,14.0,5.0,2.0,11.679183333333333,0.581277,0.757182,0.65767
20,16.0,5.0,2.0,11.229199999999999,0.581868,0.757182,0.658048
20,18.0,5.0,2.0,11.165966666666666,0.582141,0.757182,0.658223
20,2.0,5.0,2.0,2.7782833333333334,0.579864,0.754892,0.6559020000000001
20,20.0,5.0,2.0,11.127333333333333,0.58205,0.757182,0.658165
20,4.0,5.0,2.0,4.90675,0.5772970000000001,0.7566609999999999,0.65492
20,6.0,5.0,2.0,9.258066666666668,0.577338,0.756869,0.655025
20,8.0,5.0,2.0,11.330683333333333,0.578465,0.757598,0.6560229999999999
20,8.0,1.0,2.0,11.349866666666665,0.551333,0.779975,0.6460199999999999
20,8.0,11.0,2.0,11.328366666666666,0.578882,0.757494,0.6562520000000001
20,8.0,13.0,2.0,11.351966666666668,0.5789270000000001,0.757494,0.656281
20,8.0,15.0,2.0,11.356733333333333,0.5789270000000001,0.757494,0.656281
20,8.0,17.0,2.0,12.022983333333334,0.5789270000000001,0.757494,0.656281
20,8.0,19.0,2.0,11.983049999999999,0.5789270000000001,0.757494,0.656281
20,8.0,3.0,2.0,12.861933333333333,0.553396,0.766861,0.642871
20,8.0,5.0,2.0,12.8604,0.578465,0.757598,0.6560229999999999
20,8.0,7.0,2.0,11.370583333333334,0.578657,0.757494,0.656107
20,8.0,9.0,2.0,11.340066666666667,0.578657,0.757494,0.656107
20,8.0,5.0,1.0,16.5732,0.55394,0.748855,0.636817
20,8.0,5.0,10.0,6.6903999999999995,0.623292,0.7683180000000001,0.688248
20,8.0,5.0,2.0,11.529716666666667,0.578465,0.757598,0.6560229999999999
20,8.0,5.0,3.0,11.495733333333334,0.594522,0.760616,0.6673899999999999
20,8.0,5.0,4.0,10.175366666666667,0.602812,0.762594,0.673354
20,8.0,5.0,5.0,9.344783333333334,0.608762,0.764467,0.677787
20,8.0,5.0,6.0,8.788649999999999,0.613451,0.765612,0.681137
20,8.0,5.0,7.0,7.369833333333333,0.6168710000000001,0.7663409999999999,0.68353
20,8.0,5.0,8.0,7.136233333333333,0.61961,0.766965,0.685458
20,8.0,5.0,9.0,6.937200000000001,0.621743,0.767798,0.687094
